feature,feature_label,family,interaction_mean_corr,high_mean_corr,interaction_mean_z,high_mean_z,same_sign_corr,same_sign_z,shared_signal_strength,interaction_sig_0_05_count,high_sig_0_05_count,interaction_sig_bonferroni_count,high_sig_bonferroni_count,interaction_max_p_value,high_max_p_value
full_authority_score,Full authority,full,0.11962929950924432,0.12134521170740172,1.2507856947098042,1.2694241603806242,True,True,0.11962929950924432,6,6,6,6,1.598278901983543e-123,9.154071887170159e-113
full_popularity_rank_pct,Full popularity rank,full,0.11683542849478035,0.11474045768598438,0.924138459186478,0.9107197401016888,True,True,0.11474045768598438,6,6,6,6,0.0,0.0
full_in_strength,Full in-strength,full,0.11373714950616076,0.10954479176326588,1.2432461317414478,1.198757003869725,True,True,0.10954479176326588,6,6,6,6,9.894097396969882e-21,5.9883487884489615e-18
full_in_degree,Full in-degree,full,0.131042506944347,0.10788044488509496,1.3954652327387,1.1493564582569717,True,True,0.10788044488509496,6,6,6,6,1.7774607853071415e-64,9.847546258419676e-82
full_prestige_rank_pct,Full prestige rank,full,0.10017808854814902,0.10229475831410707,0.8040939573430155,0.821444375091263,True,True,0.10017808854814902,6,6,6,6,0.0,0.0
pos8_popularity_rank_pct,Pos8 popularity rank,pos8,0.09521336990916283,0.11388587532463636,0.7335259884530809,0.8578721772780495,True,True,0.09521336990916283,6,6,6,6,0.0,0.0
pos8_authority_score,Pos8 authority,pos8,0.08775356044896797,0.10301981256024362,0.9022590929233613,1.0658921725479478,True,True,0.08775356044896797,6,5,6,5,3.4491476179018656e-13,0.4413742704192789
pos8_in_degree,Pos8 in-degree,pos8,0.08446977648196048,0.09537654927574053,0.8892477680923512,1.0114253798344148,True,True,0.08446977648196048,5,6,5,6,0.18511768961220354,0.00010453662488916014
pos8_in_strength,Pos8 in-strength,pos8,0.08261565547431478,0.09389492833174767,0.8698621818472082,0.9966836935378804,True,True,0.08261565547431478,5,6,5,6,0.18297960022097048,7.066304184297854e-05
pos8_prestige_rank_pct,Pos8 prestige rank,pos8,0.07932838747867153,0.09965542251798215,0.6206849541235283,0.7634157520492867,True,True,0.07932838747867153,6,6,6,6,0.0,0.0
pos3_popularity_rank_pct,Pos3 popularity rank,pos3,0.07097797311177495,0.03752970799564051,0.5076816197203532,0.26881236016619114,True,True,0.03752970799564051,6,6,6,6,0.0,4.422182118101778e-60
pos3_in_strength,Pos3 in-strength,pos3,0.08358825324030932,0.032171741750942506,0.7312792077035505,0.2607777050634927,True,True,0.032171741750942506,6,6,6,6,2.2106877826408637e-61,0.0017447744950164462
pos3_prestige_gap,Pos3 prestige gap,pos3,-0.03437326064558888,-0.02928374135600347,-0.26267291454351877,-0.24052127667633605,True,True,0.02928374135600347,6,6,6,6,6.761279631907779e-44,6.627443128112276e-21
pos3_in_degree,Pos3 in-degree,pos3,0.08036999933354298,0.027777093651053547,0.6960832181414606,0.2207886528391684,True,True,0.027777093651053547,6,5,6,5,1.966456344261211e-61,0.05607576896504672
full_prestige_gap,Full prestige gap,full,-0.03084599780672387,-0.02302145274234313,-0.22222179165206468,-0.16505597705490693,True,True,0.02302145274234313,6,6,6,6,2.113066685003634e-13,1.513259480750084e-07
pos3_authority_score,Pos3 authority,pos3,0.06642925245948746,0.022212606955081222,0.5169999018291431,0.15286688091984582,True,True,0.022212606955081222,6,6,6,6,7.60875902688063e-174,7.929929728416018e-10
pos8_prestige_gap,Pos8 prestige gap,pos8,-0.0246328223210925,-0.021937965679424593,-0.17472415342956646,-0.14515540596940954,True,True,0.021937965679424593,6,6,6,6,9.76187775588091e-19,0.00013759124009423578
pos3_prestige_rank_pct,Pos3 prestige rank,pos3,0.0472409274064973,0.017325765566794032,0.32631624593252595,0.10289950144112703,True,True,0.017325765566794032,6,6,6,6,7.3868387069766e-77,0.006507552579872061
pos8_mean_rating,Pos8 mean rating,pos8,-0.030738586631657266,-0.011190737326361064,-0.2339243997379595,-0.07348008329848683,True,True,0.011190737326361064,6,5,6,5,1.2367529182357204e-87,0.08593165369885729
pos3_mean_rating,Pos3 mean rating,pos3,0.004875883936515969,0.007473937134645683,0.04347862236809887,0.04830679844426657,True,True,0.004875883936515969,6,5,5,5,0.011131094086852169,0.575904569335317
full_mean_rating,Full mean rating,full,-0.014584369187671961,0.033964334581762005,-0.0804179823555229,0.30092701976121244,False,False,0.014584369187671961,6,6,6,6,8.348734645078603e-25,3.4469646932826315e-26
