profile_id,total_received,high_received,low_received,mean_rating,high_share_within_profile,low_share_within_profile,rank
4478,11715,5,11689,1.0096457533077252,0.0004268032437046522,0.9977806231327359,1
4412,12343,260,11437,2.3202624969618406,0.021064571011909585,0.9265980717815766,2
415,14335,450,9141,2.7911405650505756,0.03139169863969306,0.6376700383676317,3
188,9235,370,7673,2.23551705468327,0.04006497022198159,0.8308608554412561,4
4920,18224,1083,6533,4.1138059701492535,0.05942712906057945,0.35848331870061456,5
3308,6534,126,6183,1.3446587082950718,0.01928374655647383,0.9462809917355371,6
215,6388,385,5226,2.198497182216656,0.06026925485284909,0.8180964308077645,7
5216,5716,75,5085,2.4541637508747374,0.013121063680895731,0.8896081175647306,8
2503,4312,197,3963,1.5760667903525047,0.04568645640074211,0.9190630797773655,9
7590,3843,0,3834,1.0416341399947957,0.0,0.9976580796252927,10
6092,5200,57,3614,3.1780769230769232,0.010961538461538462,0.695,11
2117,4560,7,3505,2.0164473684210527,0.0015350877192982456,0.768640350877193,12
741,9542,1247,3427,4.559735904422553,0.13068539090337455,0.3591490253615594,13
4312,3419,34,3284,1.2538754021643757,0.009944428195378765,0.960514770400702,14
5170,3990,502,3217,2.4466165413533836,0.12581453634085213,0.806265664160401,15
2502,4509,315,3211,2.933022843202484,0.06986027944111776,0.7121312929696163,16
3816,3341,28,3199,2.246333433103861,0.008380724334031727,0.9574977551631249,17
7520,3035,3,3020,1.8968698517298188,0.0009884678747940692,0.9950576606260296,18
62,3156,115,3007,1.3802281368821292,0.03643852978453739,0.9527883396704689,19
681,8744,800,2827,4.47884263494968,0.09149130832570906,0.32330741079597436,20
699,2854,10,2779,1.1377014716187808,0.00350385423966363,0.9737210932025228,21
2718,2748,22,2655,1.2183406113537119,0.008005822416302766,0.9661572052401747,22
269,2934,5,2652,2.51772324471711,0.0017041581458759373,0.9038854805725971,23
8411,5119,1861,2629,4.896268802500488,0.3635475678843524,0.5135768704825161,24
458,8717,1932,2599,5.298611907766434,0.22163588390501318,0.29815303430079154,25
